Time,dB/dt
1.2401E-05, 5.74164245593571e-8
1.53786E-05, 4.728232188043195e-8
1.99097E-05, 3.484726312917256e-8
2.41645E-05, 2.298506748181515e-8
2.99665E-05, 1.4342554407501815e-8
3.79699E-05, 8.466635113189028e-9
4.60841E-05, 4.728232188043195e-9
5.71491E-05, 2.714781867239066e-9
7.24124E-05, 1.474601593214192e-9
8.97989E-05, 8.009666945806001e-10
0.000108989, 4.2316137934508896e-10
0.000138098, 2.1744498587098334e-10
0.000171256, 1.1173591019485101e-10
0.000216994, 5.584547018776941e-11
0.000269096, 2.6405034969821798e-11
0.000340965, 1.1487908395619146e-11
