Time,Resistivity_1,Resistivity_2,Resistivity_3,Thickness_1,Thickness_2,dBdt
1e-05,100,20,5,50,100,-2.070896213438521e-09
1.165914401179831e-05,100,20,5,50,100,-1.6396063857584587e-09
1.359356390878527e-05,100,20,5,50,100,-1.279739782853548e-09
1.584893192461114e-05,100,20,5,50,100,-9.877367130307415e-10
1.8478497974222908e-05,100,20,5,50,100,-7.573321618712471e-10
2.1544346900318823e-05,100,20,5,50,100,-6.145348851775828e-10
2.5118864315095822e-05,100,20,5,50,100,-5.15121601179885e-10
2.9286445646252374e-05,100,20,5,50,100,-3.992142216983902e-10
3.414548873833601e-05,100,20,5,50,100,-3.227142935551215e-10
3.9810717055349695e-05,100,20,5,50,100,-2.4528980704792693e-10
4.641588833612782e-05,100,20,5,50,100,-1.9540797450260022e-10
5.411695265464637e-05,100,20,5,50,100,-1.5115337862260286e-10
6.309573444801929e-05,100,20,5,50,100,-1.1716762135873808e-10
7.356422544596421e-05,100,20,5,50,100,-9.159013072583276e-11
8.576958985908945e-05,100,20,5,50,100,-7.199983220549666e-11
0.0001,100,20,5,50,100,-5.653500926316401e-11
0.00011659144011798311,100,20,5,50,100,-4.4951861109049946e-11
0.00013593563908785255,100,20,5,50,100,-3.55951073218e-11
0.00015848931924611142,100,20,5,50,100,-2.8092035992315175e-11
0.00018478497974222906,100,20,5,50,100,-2.209948494543115e-11
0.00021544346900318823,100,20,5,50,100,-1.725062646273196e-11
0.00025118864315095795,100,20,5,50,100,-1.4607147731116654e-11
0.00029286445646252375,100,20,5,50,100,-1.1876979667639234e-11
0.0003414548873833601,100,20,5,50,100,-9.342682865667594e-12
0.00039810717055349735,100,20,5,50,100,-7.344707649126475e-12
0.0004641588833612782,100,20,5,50,100,-5.6756655990135294e-12
0.0005411695265464637,100,20,5,50,100,-4.278741157498454e-12
0.000630957344480193,100,20,5,50,100,-3.2130093513430827e-12
0.0007356422544596414,100,20,5,50,100,-2.417809772736785e-12
0.0008576958985908946,100,20,5,50,100,-1.8220176449511705e-12
0.001,100,20,5,50,100,-1.3684831951532928e-12
