Time,Resistivity_1,Resistivity_2,Resistivity_3,Thickness_1,Thickness_2,dBdt_t1,dBdt_t2,dBdt_t3,dBdt_t4,dBdt_t5,dBdt_t6,dBdt_t7,dBdt_t8,dBdt_t9,dBdt_t10,dBdt_t11,dBdt_t12,dBdt_t13,dBdt_t14,dBdt_t15,dBdt_t16,dBdt_t17,dBdt_t18,dBdt_t19,dBdt_t20,dBdt_t21,dBdt_t22,dBdt_t23,dBdt_t24,dBdt_t25,dBdt_t26,dBdt_t27,dBdt_t28,dBdt_t29,dBdt_t30,dBdt_t31
1e-05,80.25279481668908,16.03298050807298,6.90960190579375,53.114285448115076,103.18721678450801,2.216719225550059e-09,1.7843972080444364e-09,1.4170638280628724e-09,1.1121316996640332e-09,8.650776182807755e-10,7.069428689869079e-10,5.937814446066042e-10,4.6184491026358744e-10,3.7318695287671434e-10,2.8289784636863525e-10,2.2409442342618018e-10,1.718896162564492e-10,1.3187228361950465e-10,1.0202949717421693e-10,7.95079778017761e-11,6.203850953515668e-11,4.923127242758967e-11,3.905210051300619e-11,3.100210007027382e-11,2.463393591467201e-11,1.950055184808598e-11,1.6662178596473223e-11,1.3718823831634392e-11,1.096379757288881e-11,8.749506302008032e-12,6.868213662938397e-12,5.261648164086899e-12,4.002637144564904e-12,3.0373965309277665e-12,2.296343165690145e-12,1.7206787561237942e-12
1e-05,99.92864371307468,22.064853432813983,5.870835896504327,56.61920326777979,108.13415227922333,2.077001598524856e-09,1.64668978833072e-09,1.2875492307601203e-09,9.959032621071463e-10,7.654348636209526e-10,6.221639881393985e-10,5.220696206799895e-10,4.0536815618208015e-10,3.2804418728368635e-10,2.4967936854697386e-10,1.989493729437459e-10,1.5385374317680354e-10,1.1910839610419621e-10,9.288779651170294e-11,7.277333786499195e-11,5.689023565296732e-11,4.5009397697204446e-11,3.543605348667253e-11,2.7789184664874922e-11,2.1715683952871162e-11,1.6836251401510995e-11,1.4215842077954182e-11,1.1518095411348322e-11,9.022669806134617e-12,7.071593835881835e-12,5.449413110925536e-12,4.0987761573471485e-12,3.07372778309443e-12,2.311808662777852e-12,1.7423223516929044e-12,1.3092918323146921e-12
1e-05,93.15475251310366,15.432482944488994,9.67015570419725,55.47988475116589,106.54163230172277,2.1124777600702124e-09,1.677893613258677e-09,1.3129640065075362e-09,1.0148094048502413e-09,7.779943060877284e-10,6.30452096187181e-10,5.274785740325732e-10,4.07420261612307e-10,3.2833209658201267e-10,2.483417719401005e-10,1.971547672492602e-10,1.519383057211847e-10,1.175076878578049e-10,9.186128625145555e-11,7.241464488868646e-11,5.719068917578955e-11,4.586573602937331e-11,3.674414545504716e-11,2.9434664162586666e-11,2.3585458252481102e-11,1.8827766592010034e-11,1.6163089631767373e-11,1.3392864929754382e-11,1.0790164297158132e-11,8.680435104007149e-12,6.874874014321741e-12,5.3194884677607975e-12,4.085532986076909e-12,3.1263588329284407e-12,2.3794252320566852e-12,1.791102965474239e-12
1e-05,118.42385467086214,18.36666211994825,4.041627549439911,59.414264366663645,103.29689560503941,2.0075079060272312e-09,1.5835003448878899e-09,1.2305176886535657e-09,9.441564758127437e-10,7.179504730059264e-10,5.777967551085521e-10,4.804855943910146e-10,3.670291107149141e-10,2.9279446433793463e-10,2.1789224534028482e-10,1.7054148873121096e-10,1.290172957969225e-10,9.785804331573028e-11,7.509214982760065e-11,5.819870127881253e-11,4.5252214505063154e-11,3.583226517596217e-11,2.834773800188186e-11,2.2403916900153162e-11,1.766971441959391e-11,1.3833347109824596e-11,1.1735931568662457e-11,9.568822681848238e-12,7.557335708444867e-12,5.971801587159122e-12,4.647455931821231e-12,3.5387977274629474e-12,2.691547812107296e-12,2.0563476403087124e-12,1.5764066234245667e-12,1.2067542393604087e-12
1e-05,111.10887471374232,18.194718040427958,6.749415666309975,47.12172795199827,104.86135500103275,1.854497837650927e-09,1.4351972469798485e-09,1.0972071355068813e-09,8.341986100331829e-10,6.358481014008566e-10,5.182262347880033e-10,4.3870848038775433e-10,3.4599758538302447e-10,2.850579109174584e-10,2.2347049248594336e-10,1.830019792534434e-10,1.4651066762221787e-10,1.17542939390278e-10,9.4771891300048e-11,7.651218962896399e-11,6.147272130073916e-11,4.971457002964935e-11,3.994505139497868e-11,3.193313689189289e-11,2.5428039150845505e-11,2.009953884648526e-11,1.7129410250025882e-11,1.4047281580104358e-11,1.1166026469672527e-11,8.857014728384979e-12,6.903752052451187e-12,5.244842086507285e-12,3.955909965047726e-12,2.9776696153220377e-12,2.234592403706367e-12,1.6634103733506096e-12
1e-05,97.46567586113889,20.862406863923255,2.593327372496264,48.45021702851954,94.74645676555132,2.0931986601958913e-09,1.6619785183912285e-09,1.3012892438356052e-09,1.007648742362688e-09,7.749955718308725e-10,6.299945180637113e-10,5.285141112081895e-10,4.101966434177498e-10,3.3177083952891635e-10,2.522783697909436e-10,2.0086140260531845e-10,1.551899869869711e-10,1.2005670060288832e-10,9.359805515232837e-11,7.334149233237765e-11,5.7369147169942367e-11,4.5426172754344715e-11,3.5789365083563364e-11,2.806486594474763e-11,2.189290143487139e-11,1.6896575596463818e-11,1.4194108679553307e-11,1.1409432371700726e-11,8.840046433951882e-12,6.843132006700204e-12,5.199843223772698e-12,3.850357173851427e-12,2.849559177604997e-12,2.1256386406185196e-12,1.5984616234652524e-12,1.2059882544028332e-12
1e-05,80.79878068177936,19.574375792491864,5.62435413425516,54.66380412683074,97.34086885134413,2.219208269975053e-09,1.788582864677449e-09,1.4230620823673833e-09,1.119793006772186e-09,8.739833131360592e-10,7.162011606955669e-10,6.028363260761224e-10,4.70662632805944e-10,3.8134440337073153e-10,2.9020845974056094e-10,2.3036899345914152e-10,1.7703714813960418e-10,1.3586892134675947e-10,1.0494374784066609e-10,8.146066745862489e-11,6.316631267106466e-11,4.972360351707064e-11,3.904624729755064e-11,3.062587366981392e-11,2.399807606241419e-11,1.8693839743645683e-11,1.5826725667694725e-11,1.2869096231336466e-11,1.0123970386391799e-11,7.960363560690375e-12,6.151063926708705e-12,4.634665082345405e-12,3.475214686079969e-12,2.6082929075838455e-12,1.9579433238930954e-12,1.4627874889944024e-12
1e-05,87.89001800628694,20.396520022565483,6.024355277020772,52.21839586443482,109.87272558770806,2.1667233974133955e-09,1.735179879674049e-09,1.3710972248526025e-09,1.0714011860175215e-09,8.30811403375674e-10,6.783377865225682e-10,5.700395763185508e-10,4.437731334196878e-10,3.591848339076986e-10,2.731306191236964e-10,2.1702219518616917e-10,1.6710140499230776e-10,1.2864239706789216e-10,9.973646137865324e-11,7.77207799972952e-11,6.04893310499e-11,4.774225505939234e-11,3.7559108645169444e-11,2.9485481341659225e-11,2.3104884543430658e-11,1.7987370144082172e-11,1.522311673085107e-11,1.2372609408048817e-11,9.728689071182985e-12,7.648145983283667e-12,5.910065462105014e-12,4.4549334068751935e-12,3.3433912726906215e-12,2.5125898896726026e-12,1.889151463831833e-12,1.414045500157491e-12
1e-05,109.16326257520109,23.824970345916363,2.845593498054127,48.636664254710404,105.39361393589327,2.0100269179811953e-09,1.5827818561618818e-09,1.2291769018409824e-09,9.44896397538458e-10,7.227209489708757e-10,5.862882480153734e-10,4.918922732406196e-10,3.818346468373273e-10,3.0928763693729586e-10,2.358964678757164e-10,1.8846127815789768e-10,1.4625707661931846e-10,1.1365268744515262e-10,8.891856719863656e-11,6.98133913019784e-11,5.461297837248092e-11,4.3137604249631366e-11,3.382086418245034e-11,2.6324718923762475e-11,2.0337356810530323e-11,1.5517526765456378e-11,1.2969888643825651e-11,1.0359026700961265e-11,7.966736497576974e-12,6.138613868404525e-12,4.649694592995407e-12,3.441118988802327e-12,2.5548453055512094e-12,1.91766126146822e-12,1.453821841398208e-12,1.107081071513623e-12
1e-05,112.11912848059208,23.076728395714206,8.940704558183281,54.727331462853684,97.44841955704678,1.9849634439874677e-09,1.5584761192944268e-09,1.2065389138900943e-09,9.246625686053326e-10,7.053384486923262e-10,5.71396827882383e-10,4.791777769356966e-10,3.7165825737381983e-10,3.010348970784063e-10,2.296787148172009e-10,1.8368652665009715e-10,1.4279269971078582e-10,1.1122386317005216e-10,8.727195877263444e-11,6.875787338936093e-11,5.4017648560613425e-11,4.289055568743582e-11,3.387018340220081e-11,2.6634343366079533e-11,2.087615742282246e-11,1.6249050350872845e-11,1.3758571084629561e-11,1.1192771123476479e-11,8.814361871485015e-12,6.945418330008309e-12,5.383366317547648e-12,4.074276964008028e-12,3.0712841262077105e-12,2.3179185196659337e-12,1.7489601372264322e-12,1.3121227516181586e-12
